feature,balanced_ot,semi_relaxed_iot
Proliferation,6.23856521997368e-12,0.11621849420441777
EMT,1.0471978839632357e-10,0.08843501166746393
Stemness,1.8246737454319373e-11,0.08495050719063357
Senescence,3.413447302591521e-11,0.1093551351715476
Epithelial,1.340083599643549e-11,0.1293963614418061
