feature,outcome,n,mean,mean_ci_low,mean_ci_high
score_IFN_HLA,RD,34,0.7265124643479339,0.6359224245486845,0.8198976995076258
score_IFN_HLA,pCR,45,0.9869287554212344,0.8711152997655609,1.1013519852033877
score_INV_EMT,RD,34,0.31851617207944033,0.2865704221056847,0.3527009471924477
score_INV_EMT,pCR,45,0.3214865820383521,0.29266732652197996,0.34906416538658674
