condition,window,state,observed,predicted,n_cases
DMSO,DMSO_d42 -> DMSO_d139,3,0.36809074569398764,0.42552453413465435,121
DMSO,DMSO_d42 -> DMSO_d139,4,0.09261018128096009,0.1296619340558548,121
DMSO,DMSO_d42 -> DMSO_d139,5,0.0,0.0036566080058420556,121
DMSO,DMSO_d42 -> DMSO_d69,0,0.13905962652958098,0.3412559529366385,176
DMSO,DMSO_d42 -> DMSO_d69,1,0.0,0.003999695642437385,176
DMSO,DMSO_d42 -> DMSO_d69,2,0.007954545454545454,0.10983598501138749,176
DMSO,DMSO_d42 -> DMSO_d69,3,0.7948852237414324,0.4107710632837673,176
DMSO,DMSO_d42 -> DMSO_d69,4,0.05810060427444108,0.13047447223279288,176
DMSO,DMSO_d42 -> DMSO_d69,5,0.0,0.0036628308929763944,176
DMSO,DMSO_d42 -> DMSO_d98,0,0.3254203180120334,0.3421802425587325,152
DMSO,DMSO_d42 -> DMSO_d98,1,0.0,0.003978306145305903,152
DMSO,DMSO_d42 -> DMSO_d98,2,0.010307017543859648,0.10877173948921334,152
DMSO,DMSO_d42 -> DMSO_d98,3,0.5830138366808214,0.41168984487287996,152
DMSO,DMSO_d42 -> DMSO_d98,4,0.08125882776328552,0.12973516513996267,152
DMSO,DMSO_d42 -> DMSO_d98,5,0.0,0.0036447017939056185,152
DMSO,DMSO_d6 -> DMSO_d139,0,0.3596260001397845,0.308349151684182,121
DMSO,DMSO_d6 -> DMSO_d139,1,0.0,0.0031113717074947394,121
DMSO,DMSO_d6 -> DMSO_d139,2,0.17967307288526774,0.056878825734389904,121
DMSO,DMSO_d6 -> DMSO_d139,3,0.36809074569398764,0.5521716127355478,121
DMSO,DMSO_d6 -> DMSO_d139,4,0.09261018128096009,0.07658525522528124,121
DMSO,DMSO_d6 -> DMSO_d139,5,0.0,0.002903782913104265,121
DMSO,DMSO_d6 -> DMSO_d21,0,0.11298363095238095,0.30360839704509607,128
DMSO,DMSO_d6 -> DMSO_d21,1,0.0,0.0030629353123787333,128
DMSO,DMSO_d6 -> DMSO_d21,2,0.014918154761904761,0.05415750377401125,128
DMSO,DMSO_d6 -> DMSO_d21,3,0.7466424851190476,0.56235954339916,128
DMSO,DMSO_d6 -> DMSO_d21,4,0.12545572916666667,0.07394914570510695,128
DMSO,DMSO_d6 -> DMSO_d21,5,0.0,0.0028624747642470106,128
DMSO,DMSO_d6 -> DMSO_d42,0,0.40058479532163743,0.3169617995157697,57
DMSO,DMSO_d6 -> DMSO_d42,1,0.0,0.003065296547169721,57
DMSO,DMSO_d6 -> DMSO_d42,2,0.017543859649122806,0.05711127621070383,57
DMSO,DMSO_d6 -> DMSO_d42,3,0.5116959064327485,0.5455789857398906,57
DMSO,DMSO_d6 -> DMSO_d42,4,0.07017543859649122,0.07441748061296179,57
DMSO,DMSO_d6 -> DMSO_d42,5,0.0,0.0028651613735044892,57
DMSO,DMSO_d6 -> DMSO_d69,0,0.13905962652958098,0.3098813129091687,176
DMSO,DMSO_d6 -> DMSO_d69,1,0.0,0.0031751450743515296,176
DMSO,DMSO_d6 -> DMSO_d69,2,0.007954545454545454,0.06105636546902697,176
DMSO,DMSO_d6 -> DMSO_d69,3,0.7948852237414324,0.5437646430776243,176
DMSO,DMSO_d6 -> DMSO_d69,4,0.05810060427444108,0.07916441430568628,176
DMSO,DMSO_d6 -> DMSO_d69,5,0.0,0.0029581191641421885,176
DMSO,DMSO_d6 -> DMSO_d98,0,0.3254203180120334,0.31000000216608115,152
DMSO,DMSO_d6 -> DMSO_d98,1,0.0,0.003204948638778764,152
DMSO,DMSO_d6 -> DMSO_d98,2,0.010307017543859648,0.06366268238398265,152
DMSO,DMSO_d6 -> DMSO_d98,3,0.5830138366808214,0.5379660182188458,152
DMSO,DMSO_d6 -> DMSO_d98,4,0.08125882776328552,0.08218238087794134,152
DMSO,DMSO_d6 -> DMSO_d98,5,0.0,0.0029839677143702003,152
DMSO,DMSO_d69 -> DMSO_d139,0,0.3596260001397845,0.24465445568494965,121
DMSO,DMSO_d69 -> DMSO_d139,1,0.0,0.0031673350175961297,121
DMSO,DMSO_d69 -> DMSO_d139,2,0.17967307288526774,0.0578225510499846,121
DMSO,DMSO_d69 -> DMSO_d139,3,0.36809074569398764,0.6176768808305544,121
DMSO,DMSO_d69 -> DMSO_d139,4,0.09261018128096009,0.073728969121916,121
DMSO,DMSO_d69 -> DMSO_d139,5,0.0,0.0029498082949991748,121
DMSO,DMSO_d69 -> DMSO_d98,0,0.3254203180120334,0.24739013758775952,152
DMSO,DMSO_d69 -> DMSO_d98,1,0.0,0.0032110486033953313,152
DMSO,DMSO_d69 -> DMSO_d98,2,0.010307017543859648,0.061131655638958116,152
DMSO,DMSO_d69 -> DMSO_d98,3,0.5830138366808214,0.6094407530239968,152
DMSO,DMSO_d69 -> DMSO_d98,4,0.08125882776328552,0.07583919520786803,152
DMSO,DMSO_d69 -> DMSO_d98,5,0.0,0.0029872099380223623,152
DMSO,DMSO_d98 -> DMSO_d139,0,0.3596260001397845,0.33556285911845923,121
DMSO,DMSO_d98 -> DMSO_d139,1,0.0,0.0032732134156268624,121
DMSO,DMSO_d98 -> DMSO_d139,2,0.17967307288526774,0.0661406064605203,121
DMSO,DMSO_d98 -> DMSO_d139,3,0.36809074569398764,0.5093030566024223,121
DMSO,DMSO_d98 -> DMSO_d139,4,0.09261018128096009,0.08267887514337909,121
DMSO,DMSO_d98 -> DMSO_d139,5,0.0,0.0030413892595922676,121
DMSO,day0 -> DMSO_d139,0,0.3596260001397845,0.40120618321140367,121
DMSO,day0 -> DMSO_d139,1,0.0,0.0028463047776884636,121
DMSO,day0 -> DMSO_d139,2,0.17967307288526774,0.03826660216047646,121
DMSO,day0 -> DMSO_d139,3,0.36809074569398764,0.5103560650730902,121
DMSO,day0 -> DMSO_d139,4,0.09261018128096009,0.044650662833022554,121
DMSO,day0 -> DMSO_d139,5,0.0,0.0026741819443187077,121
DMSO,day0 -> DMSO_d21,0,0.11298363095238095,0.3911794894269683,128
DMSO,day0 -> DMSO_d21,1,0.0,0.002848131972656958,128
DMSO,day0 -> DMSO_d21,2,0.014918154761904761,0.03914482467245489,128
DMSO,day0 -> DMSO_d21,3,0.7466424851190476,0.5193965330574116,128
DMSO,day0 -> DMSO_d21,4,0.12545572916666667,0.04475515129622788,128
DMSO,day0 -> DMSO_d21,5,0.0,0.002675869574280275,128
DMSO,day0 -> DMSO_d3,0,0.4021601281169917,0.40480861949482394,189
DMSO,day0 -> DMSO_d3,1,0.0,0.0028294989524197756,189
DMSO,day0 -> DMSO_d3,2,0.008240312246968673,0.034899416570549895,189
DMSO,day0 -> DMSO_d3,3,0.5412641363734171,0.5148899058956626,189
DMSO,day0 -> DMSO_d3,4,0.048335423262622496,0.03991335803078611,189
DMSO,day0 -> DMSO_d3,5,0.0,0.002659201055757514,189
DMSO,day0 -> DMSO_d42,0,0.40058479532163743,0.4093652393876145,57
DMSO,day0 -> DMSO_d42,1,0.0,0.002838174256500975,57
DMSO,day0 -> DMSO_d42,2,0.017543859649122806,0.036071336724296625,57
DMSO,day0 -> DMSO_d42,3,0.5116959064327485,0.5064749421178385,57
DMSO,day0 -> DMSO_d42,4,0.07017543859649122,0.04258367790735215,57
DMSO,day0 -> DMSO_d42,5,0.0,0.0026666296063972295,57
DMSO,day0 -> DMSO_d6,0,0.2533277926930261,0.3912114513317602,182
DMSO,day0 -> DMSO_d6,1,0.0,0.0028470261838526943,182
DMSO,day0 -> DMSO_d6,2,0.023600002141407922,0.039059058706483525,182
DMSO,day0 -> DMSO_d6,3,0.6401151054853687,0.5186140208804949,182
DMSO,day0 -> DMSO_d6,4,0.08295709968019735,0.045593521795025925,182
DMSO,day0 -> DMSO_d6,5,0.0,0.0026749211023827523,182
DMSO,day0 -> DMSO_d69,0,0.13905962652958098,0.38638439092373705,176
DMSO,day0 -> DMSO_d69,1,0.0,0.0028521797925955853,176
DMSO,day0 -> DMSO_d69,2,0.007954545454545454,0.03942356656194333,176
DMSO,day0 -> DMSO_d69,3,0.7948852237414324,0.5218941600554099,176
DMSO,day0 -> DMSO_d69,4,0.05810060427444108,0.04676606554806579,176
DMSO,day0 -> DMSO_d69,5,0.0,0.002679637118248439,176
DMSO,day0 -> DMSO_d98,0,0.3254203180120334,0.3658454210151925,152
DMSO,day0 -> DMSO_d98,1,0.0,0.0028415266946117176,152
DMSO,day0 -> DMSO_d98,2,0.010307017543859648,0.03764423761635589,152
DMSO,day0 -> DMSO_d98,3,0.5830138366808214,0.5478721374804177,152
DMSO,day0 -> DMSO_d98,4,0.08125882776328552,0.043126968640784386,152
DMSO,day0 -> DMSO_d98,5,0.0,0.002669708552637584,152
ispinesib,day0 -> ispi_d139,0,0.0,0.1422195984440376,91
ispinesib,day0 -> ispi_d139,1,0.0,0.0026952875541280626,91
ispinesib,day0 -> ispi_d139,2,0.031135531135531132,0.013888705331360371,91
ispinesib,day0 -> ispi_d139,3,0.8846153846153846,0.7496862544330806,91
ispinesib,day0 -> ispi_d139,4,0.08424908424908424,0.08881110119639843,91
ispinesib,day0 -> ispi_d139,5,0.0,0.0026990530409949647,91
ispinesib,day0 -> ispi_d21,0,0.28096023888103094,0.14472579540772543,101
ispinesib,day0 -> ispi_d21,1,0.0,0.00272470257946738,101
ispinesib,day0 -> ispi_d21,2,0.022316517366022318,0.015299537881345747,101
ispinesib,day0 -> ispi_d21,3,0.6565692283514065,0.7437808599174262,101
ispinesib,day0 -> ispi_d21,4,0.04015401540154015,0.09074058141739333,101
ispinesib,day0 -> ispi_d21,5,0.0,0.0027285227966418594,101
ispinesib,day0 -> ispi_d3,0,0.1262728341278376,0.16441217050374332,172
ispinesib,day0 -> ispi_d3,1,0.0,0.0027188055196931808,172
ispinesib,day0 -> ispi_d3,2,0.02104097452934662,0.01458956343951302,172
ispinesib,day0 -> ispi_d3,3,0.8187253201726423,0.717463589699739,172
ispinesib,day0 -> ispi_d3,4,0.0339608711701735,0.09809324013533506,172
ispinesib,day0 -> ispi_d3,5,0.0,0.002722630701976467,172
ispinesib,day0 -> ispi_d42,0,0.07398680455452714,0.1461431149923445,169
ispinesib,day0 -> ispi_d42,1,0.0,0.0027211051180638358,169
ispinesib,day0 -> ispi_d42,2,0.0067061143984220905,0.014904783969935706,169
ispinesib,day0 -> ispi_d42,3,0.7964847764400724,0.7435913453265648,169
ispinesib,day0 -> ispi_d42,4,0.12282230460697838,0.08991473351481424,169
ispinesib,day0 -> ispi_d42,5,0.0,0.0027249170782770206,169
ispinesib,day0 -> ispi_d6,0,0.15470521541950114,0.14381055183099942,126
ispinesib,day0 -> ispi_d6,1,0.0,0.002695803829681394,126
ispinesib,day0 -> ispi_d6,2,0.025793650793650792,0.014345819900225524,126
ispinesib,day0 -> ispi_d6,3,0.7036848072562358,0.7480207323556561,126
