coefficient,truth,semi_relaxed_iot,balanced_ot,pure_column_direction
theta_1,-0.2323073049517677,-0.23240926861763,-0.006970505695790052,False
theta_2,0.7987063440049622,0.799346387386322,-0.04039096087217331,True
theta_3,0.2878163033083234,0.289945125579834,-0.015283282846212387,True
theta_4,-0.7508558723022748,-0.7533034682273865,0.03516782447695732,True
theta_5,-0.1564478102961866,-0.1548701971769333,-0.08961917459964752,True
theta_6,0.921413915333152,0.9209733605384827,0.03127746284008026,True
theta_7,-0.14955117957664354,-0.14926579594612122,-0.02086762525141239,False
theta_8,0.2530578638358404,0.2532317042350769,0.011284593492746353,False
