system,mouse,epithelial_lineage,ever_emt_lineage
TENA,TENA2462,2.0310191771229813,1.411604996348763
TENA,TENA2483,1.8248982917424823,1.0812921629619086
TENA,TENA2517,1.3518546095907196,1.157931181254272
TENA,TENA2524,1.3662413473006711,1.1515504745977154
TENA,TENA2560,1.978350400344849,1.2110699147617066
Cdh,Cdh1624,1.228842311668263,3.186348582502169
Cdh,Cdh1654,1.6122832528784494,2.841203791308071
Cdh,Cdh1739,1.6183694958153294,2.921340077298851
