state,epithelial,proliferation,emt,stemness,senescence
0,1.9887668402151497,0.9813297332716318,0.719473005440911,1.0263287407796065,0.5194443872643568
1,1.7292694573159726,1.1483752424633002,1.0634060073684188,0.4932036306307642,0.5337985811786561
2,1.7003619480906438,0.9833208940780712,0.6596820588812256,0.8337230134164989,0.3727932302171001
3,1.5283294192890493,1.0749003454957173,0.618654018938258,1.0927585862627223,0.406056781172237
4,2.1114387140198945,1.0658340198086407,1.0072812239704996,0.650026622619629,0.5578250053452031
5,1.6458467290479966,0.882335433828913,0.6434331688796273,1.0943177252077785,0.44654141700160155
6,1.929862249998152,0.9788805510504374,0.8646579736057748,1.1263239193125054,0.5057748718211864
7,1.7176229166058934,0.9827370935909893,0.4488903628943048,1.069938111555874,0.5625105801172011
8,1.9265229705640206,0.9568935378539244,0.6981724808799492,0.9655049685087759,0.5781763137896287
9,1.8804795023401546,1.0579001858371053,0.5255472136045102,1.030386402542956,0.5487215793506587
