mu,direction_sensitivity_norm
0.0,0.6951986988607942
0.05,0.693225178367692
0.1,0.689278570204797
0.2,0.6769870558564466
0.5,0.6224235279700746
1.0,0.5243430490222984
2.0,0.3803550740604502
5.0,0.19972729131030414
