dataset_id,partition,method,stratum,n,prevalence,brier,nll,ece,calibration_slope,calibration_intercept,auprc,auroc,top10_enrichment,integrated_brier,joint_nll,state_n,state_cross_entropy,state_brier,state_total_variation,state_top1_agreement,abstention_rate
GSE239651_expt2,locked_external_e1,PERSIST-IOT,all,109704.0,0.0662418872602639,0.0297555056253869,0.1153284924967649,0.0197735319435872,1.1441105773340705,-0.2036611487001081,0.7155979268605477,0.9445790387150514,8.627572720490315,0.0292931049249711,0.1153284924967649,7267.0,0.9859026620053872,0.3592909630817728,0.4036905221094105,0.6819870648135407,0.9339130751841318
GSE239651_expt2,locked_external_e1,PERSIST-IOT,source_ct_1,101584.0,0.0177390140179555,0.015803450439993,0.0766971257876369,0.0172136008520677,1.1469390519794769,-0.3558182269462437,0.218272996849319,0.8228517246398481,5.89865270937925,0.0153382467889184,0.0766971257876369,1802.0,1.038182674778392,0.4872305819152526,0.4939035098589412,0.6453940066592675,1.0
GSE239651_expt2,locked_external_e1,PERSIST-IOT,source_ct_2_3,4760.0,0.5516806722689076,0.2482358600871322,0.6970081552760427,0.0895948206430283,0.4335525947328539,0.0737037941239537,0.6502162582198303,0.6111975194347349,1.30997715156131,0.247573297598353,0.6970081552760427,2626.0,1.008552413743622,0.3800289562073973,0.4172212443970153,0.6595582635186595,0.1071428571428571
GSE239651_expt2,locked_external_e1,PERSIST-IOT,source_ct_4_plus,3360.0,0.8449404761904762,0.1420588052429906,0.4592372903987594,0.0871745059455876,0.3567571721477955,1.1330695194180007,0.8916805516423822,0.6113713636292956,1.0848890454385347,0.1419647096176736,0.4592372903987594,2839.0,0.9317685193207944,0.2589016840800748,0.3339140231126142,0.7259598450158506,0.1071428571428571
GSE239651_expt2,locked_external_e1,PERSIST-no-IOT,all,109704.0,0.0662418872602639,0.030955685613357,0.1189921419368636,0.0228767139991183,1.1065295520894831,-0.3384005981459857,0.6975381196012347,0.9431148133956492,8.569780367338707,0.0303908403856772,0.1189921419368636,7267.0,4.583061073824733,0.597281963260918,0.5079503748658549,0.475024081464153,0.9339130751841318
GSE239651_expt2,locked_external_e1,PERSIST-no-IOT,source_ct_1,101584.0,0.0177390140179555,0.0162479192190595,0.0782973422544753,0.0192639501183205,1.0541824947739535,-0.6971207158564321,0.2085787392503504,0.8207629229945477,5.926398018454411,0.0156656271853973,0.0782973422544753,1802.0,5.702328858523008,0.8387640093153671,0.6399649527281278,0.3684794672586015,1.0
GSE239651_expt2,locked_external_e1,PERSIST-no-IOT,source_ct_2_3,4760.0,0.5516806722689076,0.2615505002412606,0.7382118255516201,0.1211312313284906,0.2868479570252216,0.0670004106342176,0.6319931997412687,0.5835299231747124,1.2795125666412794,0.2599186912428328,0.7382118255516201,2626.0,4.9543824644587255,0.6284362346124858,0.5242857373899069,0.455064737242955,0.1071428571428571
GSE239651_expt2,locked_external_e1,PERSIST-no-IOT,source_ct_4_plus,3360.0,0.8449404761904762,0.1489445022114195,0.4721037005468324,0.1051935055091965,0.3228575675724534,1.2033501976714835,0.8957525616148199,0.6058931025833622,1.1271574498062698,0.1504186640931702,0.4721037005468324,2839.0,3.529165152785224,0.4151890560543894,0.4090469119225731,0.5611130679816837,0.1071428571428571
GSE239651_expt2,locked_external_e1,prevalence_only,all,109704.0,0.0662418872602639,0.0655908898399934,0.263722094740087,0.0611309267681345,1.0825470342515835,-0.5625403302828785,0.0662418872602639,0.5,0.1830091183134309,0.0652768294330117,0.263722094740087,0.0,,,,,0.0
GSE239651_expt2,locked_external_e1,prevalence_only,source_ct_1,101584.0,0.0177390140179555,0.0294439115043561,0.1703836463472929,0.1096338000104429,1.6420884532039022,-0.8533033225634256,0.0177390140179555,0.5,0.5438080578731576,0.0292915414457576,0.1703836463472929,0.0,,,,,0.0
GSE239651_expt2,locked_external_e1,prevalence_only,source_ct_2_3,4760.0,0.5516806722689076,0.4273662666784816,1.1978956797982718,0.4243078582405091,-0.0848550712412281,0.0440945273463086,0.5516806722689076,0.5,0.6778370144706778,0.4239218136989123,1.1978956797982718,0.0,,,,,0.0
GSE239651_expt2,locked_external_e1,prevalence_only,source_ct_4_plus,3360.0,0.8449404761904762,0.6459194176662371,1.7622419389831334,0.7175676621620777,-0.6937240877928618,0.3604903675301263,0.8449404761904762,0.5,0.961606199365974,0.645151641870966,1.7622419389831334,0.0,,,,,0.0
GSE239651_expt2,locked_external_e1,source_count_logistic,all,109704.0,0.0662418872602639,0.0387235034324548,0.1694237922187757,0.0329181499738467,0.8237835580169236,-0.947015601091612,0.5400028285987698,0.8360671818991758,6.304870527158951,0.0385033187628057,0.1694237922187757,0.0,,,,,0.0
