dataset_id,partition,method,stratum,n,prevalence,brier,nll,ece,calibration_slope,calibration_intercept,auprc,auroc,top10_enrichment,integrated_brier,joint_nll,state_n,state_cross_entropy,state_brier,state_total_variation,state_top1_agreement,abstention_rate
GSE239651_expt1,development_outer_oof,PERSIST-IOT,all,38010.0,0.1280452512496711,0.050092494660085,0.1989333684138744,0.0177687340890148,0.9101706808865192,-0.2071346521291967,0.7806524464438694,0.9070143777596332,6.431066365317444,0.0498180156054049,0.1989333684138744,4867.0,1.0370164120742835,0.2851258100055829,0.3612926622644019,0.6443394288062462,0.9027624309392264
GSE239651_expt1,development_outer_oof,PERSIST-IOT,source_ct_1,34314.0,0.0524858658273591,0.0403343809018858,0.1702768991313817,0.0141009884247635,0.9210146892686752,-0.2775018399964888,0.3606854820658763,0.7744312517166285,5.2905796313625295,0.0400800989850953,0.1702768991313817,1801.0,1.0743931296333482,0.4254953686274422,0.4577121069547564,0.5841199333703498,1.0
GSE239651_expt1,development_outer_oof,PERSIST-IOT,source_ct_2_3,2142.0,0.734827264239029,0.210848567645283,0.6811325013016392,0.1268590121894501,0.2365817859774494,0.6353501847867556,0.8205546509669884,0.6380073643896416,1.1962944357436245,0.2098202316975893,0.6811325013016392,1574.0,1.0200829866740773,0.2648681481946436,0.3520606936244377,0.6302414231257941,0.0
GSE239651_expt1,development_outer_oof,PERSIST-IOT,source_ct_4_plus,1554.0,0.96010296010296,0.0439795005574814,0.1670463312928071,0.038405373751068,0.5367898238110898,1.5735953040304338,0.9893432666129304,0.7991762518377584,1.0415549597855227,0.0442981469051773,0.1670463312928071,1492.0,1.009762888787453,0.1370560945983776,0.2546436667898545,0.7319034852546917,0.0
GSE239651_expt1,development_outer_oof,PERSIST-no-IOT,all,38010.0,0.1280452512496711,0.0518031299300292,0.2040419682125948,0.0213352073610276,0.9423687815139568,-0.0982639407804976,0.7586348081110471,0.9051313718406272,6.420793096363263,0.0515122141807722,0.2040419682125948,4867.0,4.850892829155457,0.5164761222815634,0.4725672984685831,0.4970207520032874,0.9027624309392264
GSE239651_expt1,development_outer_oof,PERSIST-no-IOT,source_ct_1,34314.0,0.0524858658273591,0.040323213397506,0.1708816211882522,0.0129006647787135,0.8676363945962684,-0.4397279123372083,0.3551398205909685,0.7715668526934248,5.3571976330166216,0.0399960065088221,0.1708816211882522,1801.0,6.283315799291764,0.7697359934212106,0.597082103093078,0.4158800666296502,1.0
GSE239651_expt1,development_outer_oof,PERSIST-no-IOT,source_ct_2_3,2142.0,0.734827264239029,0.2357154921821354,0.7437055736832655,0.1804878107543193,0.0768783960450132,0.9170630503575332,0.7545683222494347,0.5375143171609069,1.0507136313938712,0.2350578469445556,0.7437055736832655,1574.0,4.950156873406988,0.4791685931053583,0.4583750365299949,0.4974587039390089,0.0
GSE239651_expt1,development_outer_oof,PERSIST-no-IOT,source_ct_4_plus,1554.0,0.96010296010296,0.0517912740439208,0.1923976341553978,0.0808599944069034,0.740673175884712,1.6737170613767651,0.9893273247990766,0.8063813456715385,1.0415549597855227,0.0528071978842943,0.1923976341553978,1492.0,3.0170889586009,0.2501229205395007,0.337237175923424,0.5945040214477212,0.0
GSE239651_expt1,development_outer_oof,prevalence_only,all,38010.0,0.1280452512496711,0.1117248302210763,0.3829987745389236,0.0044010429557191,-0.5726189237664118,-3.040467530809388,0.1260238903099208,0.4952872467435244,0.850626669406205,0.11182332669373,0.3829987745389236,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,prevalence_only,source_ct_1,34314.0,0.0524858658273591,0.0548274703764069,0.2348605234069395,0.0711448793034919,1.1708128201534924,-0.5993130520343947,0.0519112384480162,0.4965237840284379,0.938203523295139,0.0549261179684145,0.2348605234069395,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,prevalence_only,source_ct_2_3,2142.0,0.734827264239029,0.568686829004792,1.5728316915457106,0.6108901224349065,-6.648451350001922,-11.96644783080503,0.6948504248644127,0.4172714175778943,0.6835968204249283,0.5690280602633734,1.5728316915457106,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,prevalence_only,source_ct_4_plus,1554.0,0.96010296010296,0.7382135073866283,2.014011542308788,0.83656524382969,-1.2888165890360368,0.6567356861598136,0.9568842943243688,0.4906922943872698,0.9080222726335326,0.7379740865999732,2.014011542308788,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,source_count_logistic,all,38010.0,0.1280452512496711,0.0574400784568657,0.2210535060671063,0.0184687098393323,0.990582405441402,0.0074645214616272,0.7068921786543129,0.8578128122055673,6.295459215122252,0.0575575275571642,0.2210535060671063,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,source_count_logistic,source_ct_1,34314.0,0.0524858658273591,0.0428807780396667,0.1778945445382312,0.0199806663445697,0.8721776340000572,-0.6508213599729112,0.2719924280552935,0.7285276638074109,3.675093091250781,0.0428013382441721,0.1778945445382312,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,source_count_logistic,source_ct_2_3,2142.0,0.734827264239029,0.2819787776781776,0.8886014239786684,0.2818051233180171,0.3414645523003521,1.1737915637819931,0.8801813163818336,0.7276926329258908,1.335545639904258,0.2850263880977592,0.8886014239786684,0.0,,,,,0.0
