dataset,seed,objective,runtime_seconds,coupling_relative_frobenius,transition_weighted_l1,fate_pearson,fate_spearman,fate_top1_accuracy
gse140802_t2_t16,20260918.0,1.4917279845266396,0.9376322199999776,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6123271951552456,0.55
gse140802_t2_t9,20260918.0,1.68578766117164,1.3897639200001322,0.995808566288555,0.0150171352657198,0.5449431551874835,0.535734202110792,0.5526315789473685
gse239651_transition_panel,20260918.0,1.3796775284728513,1.2034253199999512,0.998190310883319,0.0951154839751081,0.4787361225673897,0.5113433782207109,0.3962703962703963
macsgestalt_transition_panel,20260918.0,0.5535326801695785,0.3418184999998629,0.8021728498808643,0.3322085364899277,0.4037134012703672,0.4090348190492688,0.5476190476190477
