dataset,seed,method,objective,runtime_seconds,artifact,coupling_relative_frobenius,transition_weighted_l1,fate_pearson,fate_spearman,fate_top1_accuracy
gse239651_transition_panel,20260916,UOT-IOT,1.3796775284728393,1.2096544999999423,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260916.npz,0.9981903108580128,0.0951153419028303,0.4787361542456028,0.5112475264202239,0.3962703962703963
gse239651_transition_panel,20260917,UOT-IOT,1.3796775284728575,1.1872864000001755,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260917.npz,0.998190310911833,0.0951156677659977,0.4787360817298395,0.5108023198928917,0.3962703962703963
gse239651_transition_panel,20260918,UOT-IOT,1.3796775284728493,1.2096050999998624,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260918.npz,0.9981903108895868,0.0951155151281439,0.478736115647362,0.5111729914765657,0.3962703962703963
gse239651_transition_panel,20260919,UOT-IOT,1.3796775284728668,1.2151920999999677,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260919.npz,0.998190310870727,0.0951153868050402,0.4787361441121345,0.5113212497037449,0.3962703962703963
gse239651_transition_panel,20260920,UOT-IOT,1.3796775284728438,1.195388499999808,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260920.npz,0.9981903108864354,0.0951155082735286,0.4787361171020095,0.512172803610128,0.3962703962703963
macsgestalt_transition_panel,20260916,UOT-IOT,0.5535326801695726,0.3401880999999775,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260916.npz,0.8021728510836154,0.3322085350486563,0.4037133931804976,0.409393221225753,0.5476190476190477
macsgestalt_transition_panel,20260917,UOT-IOT,0.5535326801695737,0.3242322999999487,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260917.npz,0.8021728506771723,0.3322085362872843,0.4037134004495707,0.4093784245381994,0.5476190476190477
macsgestalt_transition_panel,20260918,UOT-IOT,0.5535326801695716,0.366518399999677,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260918.npz,0.8021728491033728,0.3322085367587918,0.4037134011405447,0.4090126247617452,0.5476190476190477
macsgestalt_transition_panel,20260919,UOT-IOT,0.5535326801695947,0.3456639999999424,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260919.npz,0.8021728499429494,0.3322085380403349,0.4037134092397098,0.4085913456423439,0.5476190476190477
macsgestalt_transition_panel,20260920,UOT-IOT,0.55353268016958,0.3324896999997691,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260920.npz,0.8021728485972119,0.3322085363145715,0.4037134023415135,0.4087984790783026,0.5476190476190477
gse140802_t2_t16,20260916,UOT-IOT,1.491727984526643,0.9998890000001666,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260916.npz,0.9874996653580814,0.0107461842228854,0.6855422778990485,0.616007979755324,0.55
gse140802_t2_t16,20260917,UOT-IOT,1.4917279845266496,0.9571274999998424,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260917.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6110366997961014,0.55
gse140802_t2_t16,20260918,UOT-IOT,1.4917279845266225,0.8777365000000827,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260918.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6080058943575364,0.55
gse140802_t2_t16,20260919,UOT-IOT,1.4917279845266438,0.9703205999999228,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260919.npz,0.9874996653580814,0.0107461842228854,0.6855422778990485,0.6169133579581954,0.55
gse140802_t2_t16,20260920,UOT-IOT,1.4917279845266394,0.8830874999998741,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260920.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6096720439090709,0.55
gse140802_t2_t9,20260916,UOT-IOT,1.6857876611716351,1.4134618000002774,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260916.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5359660819469549,0.5526315789473685
gse140802_t2_t9,20260917,UOT-IOT,1.6857876611716585,1.3819898000001558,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260917.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.534325798976456,0.5526315789473685
gse140802_t2_t9,20260918,UOT-IOT,1.6857876611716394,1.3514521000001878,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260918.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5358707695380804,0.5526315789473685
gse140802_t2_t9,20260919,UOT-IOT,1.685787661171636,1.4133861000000252,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260919.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.53586267451377,0.5526315789473685
gse140802_t2_t9,20260920,UOT-IOT,1.6857876611716305,1.3885298000000148,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260920.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5366456855786991,0.5526315789473685
