dataset,panel,condition,time_days,method,seed,artifact,status,returncode,runtime_seconds,failure_reason,truth,cross_entropy,sinkhorn_divergence,top1_accuracy,multiclass_brier,predicted_confidence,observed_probability_of_predicted_class
GSE239651_expt2,gse239651_dmso_day3,DMSO,3,mioflow,20260919,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day3_seed20260919.npz,success,0,13.814521600000262,,data/derived/b3/evaluation_truth/gse239651_dmso_day3.npz,0.9550429379275278,0.0119957933934749,1.0,0.0028224297216845,0.4823166601434933,0.4988059136035543
GSE239651_expt2,gse239651_dmso_day3,DMSO,3,mioflow,20260920,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day3_seed20260920.npz,success,0,12.666965100000198,,data/derived/b3/evaluation_truth/gse239651_dmso_day3.npz,0.989576019497666,0.0371476887226505,1.0,0.0026561374181277,0.4949083387025383,0.4988059136035543
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,source-carry-forward,20260916,results/B3_prospective_composition/external_dynamics/source-carry-forward/gse239651_dmso_day6_seed20260916.npz,success,0,0.1849554000000353,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0432801252777673,0.0422153065329133,1.0,0.0541439647402735,0.4926808866583019,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,development-target-transfer,20260916,results/B3_prospective_composition/external_dynamics/development-target-transfer/gse239651_dmso_day6_seed20260916.npz,success,0,0.1975183000004108,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.964639344856504,0.0132550046481408,1.0,0.0054901443327234,0.6582079680142631,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,prescient,20260916,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day6_seed20260916.npz,success,0,18.23375170000054,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.021477522156026,0.0600155910432542,1.0,0.0236788267797141,0.510575181489289,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,prescient,20260917,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day6_seed20260917.npz,success,0,17.320406599999842,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0223202622410534,0.0605280658686593,1.0,0.0234920286573976,0.5118253580002352,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,prescient,20260918,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day6_seed20260918.npz,success,0,17.21284259999993,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0223459302433011,0.0599071013628854,1.0,0.0239262161997716,0.5110586706256468,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,prescient,20260919,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day6_seed20260919.npz,success,0,17.633608499999355,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.019392034281461,0.0585772074998889,1.0,0.0225947070426399,0.5135040569046084,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,prescient,20260920,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day6_seed20260920.npz,success,0,17.563787300000513,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0209650708717106,0.060448827634423,1.0,0.0232885959366488,0.5100479382843922,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,tigon,20260916,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day6_seed20260916.npz,success,0,121.35117600000012,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0457180002094923,0.0480520131433918,1.0,0.0531086120818408,0.4876494949733294,0.6176214376594862
