task,rank,method,state_dm_nll_per_cell,state_cross_entropy,state_brier,auprc,our_method
GSE228154_lineage_grouped_state,1,pure_IOT,0.9990967256039316,1.2490185458795982,0.3052338540221145,0.8812935804772828,True
GSE228154_lineage_grouped_state,2,Gated_IOT_global_alpha,1.0150444858013878,1.264627818149657,0.3186117605069095,0.8819508028878915,True
GSE228154_lineage_grouped_state,3,Gated_IOT_DM,1.018514183703416,1.2680807606656188,0.319520606976807,0.8819508028878915,True
GSE228154_lineage_grouped_state,4,target_marginal,1.1382944290401602,1.3881301110084656,0.4385646227800993,0.5602460537408245,False
GSE228154_lineage_grouped_state,5,Gated_IOT_square_loss,1.3232300957529932,1.5838390364674368,0.3319731332288395,0.8819508028878915,True
GSE228154_lineage_grouped_state,6,empirical_centered_ridge,1.5108203915644174,1.7825379227235063,0.3319744830945731,0.8822248185600583,False
GSE228154_lineage_grouped_state,7,supervised_DM,1.510820391564508,1.7825379227235083,0.3319744830945733,0.8822248185600583,False
GSE228154_lineage_grouped_state,8,zero_centered_ridge,1.510820391564508,1.7825379227235083,0.3319744830945733,0.8822248185600583,False
GSE228154_lineage_grouped_state,9,IOT_HRT,1.5205372024499102,1.80196327462396,0.3302002885765004,0.8812935804772828,True
GSE228154_lineage_grouped_state,10,state_persistence,8.585807603029645,9.78647692581228,0.8517532292414235,0.5602460537408245,False
GSE239651_external_state,1,Gated_IOT_global_alpha,0.7354944096107447,1.2383142726564516,0.2097984525816341,,True
GSE239651_external_state,2,Gated_IOT_DM,0.7394385423176695,1.2422687983411789,0.2106884976331709,,True
GSE239651_external_state,3,pure_IOT,0.7631291948765939,1.2662438148347894,0.2178621155011337,,True
GSE239651_external_state,4,Gated_IOT_square_loss,0.7887055576849594,1.2991119651473015,0.2111855337178353,,True
GSE239651_external_state,5,supervised_DM,0.8287074637252992,1.3558037035212462,0.2111820680350152,,False
GSE239651_external_state,6,zero_centered_ridge,0.8287074637252992,1.3558037035212462,0.2111820680350152,,False
GSE239651_external_state,7,empirical_centered_ridge,0.8287074637253073,1.3558037035212465,0.2111820680350152,,False
GSE239651_external_state,8,IOT_HRT,0.8406070048771339,1.3677170390874511,0.2106056563212603,,True
GSE239651_external_state,9,target_marginal,0.9748226860920656,1.4782937636008138,0.2969709216303394,,False
GSE239651_external_state,10,state_persistence,6.8662310209096,9.795122476098564,0.6275974027729861,,False
GSE173958_macsgestalt_locked_state,1,Gated_IOT_global_alpha,0.7851906637177893,1.0373308764513007,0.3151717878332999,,True
GSE173958_macsgestalt_locked_state,2,Gated_IOT_DM,0.8373626025693991,1.089558328339547,0.3223008974366751,,True
GSE173958_macsgestalt_locked_state,3,Gated_IOT_square_loss,0.9936641602128518,1.249743501575206,0.3181335228364642,,True
GSE173958_macsgestalt_locked_state,4,IOT_HRT,1.5171683249690726,1.82026795560615,0.3128550983350551,,True
GSE173958_macsgestalt_locked_state,5,supervised_DM,1.5440516940322817,1.8471182811743765,0.3125268556183925,,False
GSE173958_macsgestalt_locked_state,6,zero_centered_ridge,1.5440516940322817,1.8471182811743765,0.3125268556183925,,False
GSE173958_macsgestalt_locked_state,7,empirical_centered_ridge,1.544051694032626,1.8471182811743767,0.3125268556183954,,False
GSE173958_macsgestalt_locked_state,8,target_marginal,1.605018420472459,2.0645895928642872,0.9084441440479144,,False
GSE173958_macsgestalt_locked_state,9,pure_IOT,1.7070175381786203,2.218580136447271,0.9284472669139648,,True
GSE173958_macsgestalt_locked_state,10,state_persistence,1.9342376958518304,2.190986937083577,0.2929342240558706,,False
