drug,n_cell_lines,spearman_rho,p
Afatinib,520,0.30924283686756915,5.498044780544538e-13
Erlotinib,513,0.2107204416683733,1.4702172919527935e-06
Gefitinib,515,0.2534980360253828,5.399298354501861e-09
Osimertinib,515,0.2846149318297426,4.710456871268647e-11
Lapatinib,520,0.2027430404129282,3.152658553260303e-06
