feature,n_pCR,n_RD,mean_pCR,mean_RD,difference_pCR_minus_RD,bootstrap_95_low,bootstrap_95_high,auroc_pCR,p_value,analysis_family,patient_unit,bh_q_value
score_EPI,45,34,1.3027819755400292,1.3218174248838068,-0.0190354493437776,-0.169986100506069,0.1298173954548339,0.4986928104575163,0.9881500840984048,four_axis,donor_id,1.0
score_INV_EMT,45,34,0.3214865820383521,0.3185161720794403,0.0029704099589117,-0.042465676223879,0.0454728411683216,0.5339869281045752,0.6101033167376021,four_axis,donor_id,0.8207817399239583
score_INF_EMT,45,34,0.4298109342181955,0.4394210119486645,-0.009610077730469,-0.0870478514852087,0.0684161289032634,0.4790849673202614,0.7551192007300417,four_axis,donor_id,0.8207817399239583
score_IFN_HLA,45,34,0.9869287554212344,0.7265124643479338,0.2604162910733005,0.1035401193254234,0.4037404677177429,0.6967320261437909,0.0029261306103467,four_axis,donor_id,0.0121922108764446
score_PROLIF,45,34,0.4528711714995937,0.4026329282121135,0.0502382432874802,-0.0118859413908102,0.1123988914552745,0.5915032679738561,0.1672003163586197,four_axis,donor_id,0.4089745520551256
score_DORM_STRESS,45,34,0.4328157333441927,0.410708065717089,0.0221076676271037,-0.0263804952104577,0.0667529958391523,0.5856209150326798,0.1963077849864603,four_axis,donor_id,0.4089745520551256
