dataset,system,contrast,branch,mean_difference_a_minus_b,test_statistic,p,n_mouse_pairs_or_min_group,unit,inference,se,tcrit,ci_low,ci_high
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,EPI,0.6026037458110891,1.356234821356017,0.2465283790991422,5,mouse_aggregated_five_cell_pools,paired_mouse,0.4443210986196197,2.7764451051977934,-0.63102939358746,1.8362368852096382
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,INV_EMT,-0.5077830192354678,-4.0154826622416415,0.0159239667344256,5,mouse_aggregated_five_cell_pools,paired_mouse,0.12645628482230778,2.7764451051977934,-0.8588819522518623,-0.15668408621907332
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,INF_EMT,-0.4932401667959213,-5.953133190751581,0.0039956722701912,5,mouse_aggregated_five_cell_pools,paired_mouse,0.08285387727628683,2.7764451051977934,-0.7232794088063266,-0.26320092478551604
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,IFN_HLA,-0.1728761363486681,-1.097358005207015,0.3341084856280688,5,mouse_aggregated_five_cell_pools,paired_mouse,0.15753850204615336,2.7764451051977934,-0.6102731392349032,0.26452086653756696
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,PROLIF,0.1885358289624551,0.7468621844724409,0.4966552973096851,5,mouse_aggregated_five_cell_pools,paired_mouse,0.2524372406076908,2.7764451051977934,-0.5123423120924057,0.8894139700173159
GSE171940,TENA,partial_history_ever_emt_minus_epithelial,DORM_STRESS,-0.2587656411923332,-1.1626888066432388,0.3095940477711585,5,mouse_aggregated_five_cell_pools,paired_mouse,0.2225579533524599,2.7764451051977934,-0.8766855814006094,0.3591542990159429
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,EPI,-3.3054787254358997,-5.35000870252255,0.0332069794404899,3,mouse_aggregated_five_cell_pools,paired_mouse,0.6178454857236687,4.302652729749462,-5.963853291148225,-0.6471041597235745
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,INV_EMT,1.4964657969156832,6.463956974045461,0.0231070179311995,3,mouse_aggregated_five_cell_pools,paired_mouse,0.23150924471254974,4.302652729749462,0.5003619131909948,2.4925696806403717
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,INF_EMT,0.1317747546954453,0.2274105698009243,0.8412359863711363,3,mouse_aggregated_five_cell_pools,paired_mouse,0.5794574755729305,4.302652729749462,-2.361429534352156,2.6249790437430467
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,IFN_HLA,-0.0711910187669168,-0.1199387579749215,0.9154938580532056,3,mouse_aggregated_five_cell_pools,paired_mouse,0.5935614139159456,4.302652729749462,-2.6250796566263106,2.482697619092477
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,PROLIF,0.2501311521629237,0.4417097193059714,0.7018676790528524,3,mouse_aggregated_five_cell_pools,paired_mouse,0.5662794845355403,4.302652729749462,-2.186372817775037,2.6866351221008844
GSE171940,Cdh,full_history_ever_emt_minus_epithelial,DORM_STRESS,0.2817669951501127,0.3196270691015457,0.7795497898014171,3,mouse_aggregated_five_cell_pools,paired_mouse,0.881549225296044,4.302652729749462,-3.511233185478434,4.07476717577866
