experiment,dataset,method,n_states,root,seed,status,ordering,time_auc,jackknife_stability
E3_panels,gse140802_t2_t16,uot_iot,7,0,20260916,success,0.6831300510639731,0.955973346025702,0.8712833055775263
E3_panels,gse140802_t2_t16,uot_iot,7,0,20260917,success,0.6756639246921762,0.955973346025702,0.8345485468582854
E3_panels,gse140802_t2_t16,uot_iot,7,0,20260918,success,0.6756639246921762,0.955973346025702,0.41998174519445974
E3_panels,gse140802_t2_t16,uot_iot,7,0,20260919,success,0.7637626158259733,0.955973346025702,0.2150418361023701
E3_panels,gse140802_t2_t16,uot_iot,7,0,20260920,success,0.6756639246921762,0.955973346025702,0.9410924983128087
E3_panels,gse140802_t2_t16,wot,7,0,-1,success,0.6831300510639731,0.955973346025702,0.7912565680749445
E3_panels,gse140802_t2_t16,moscot,7,0,-1,success,0.9999999999999998,0.955973346025702,0.7637626158259734
E3_panels,gse140802_t2_t16,lineageot,7,0,-1,success,0.6416889479197478,0.955973346025702,0.45184805705753195
E3_panels,gse140802_t2_t16,cellrank2,7,0,-1,no_coupling,,,
E3_panels,gse140802_t2_t16,tigon,7,0,20260916,success,0.6416889479197478,0.955973346025702,0.9439893508795212
E3_panels,gse140802_t2_t16,tigon,7,0,20260917,success,0.6416889479197478,0.955973346025702,0.8512760434635119
E3_panels,gse140802_t2_t16,tigon,7,0,20260918,success,0.7637626158259733,0.955973346025702,0.6369038843517795
E3_panels,gse140802_t2_t16,tigon,7,0,20260919,success,0.6236095644623235,0.955973346025702,0.6590120610269998
E3_panels,gse140802_t2_t16,tigon,7,0,20260920,success,0.6831300510639731,0.955973346025702,0.7167700919962323
E3_panels,gse140802_t2_t16,mioflow,7,0,20260916,success,0.9999999999999998,0.955973346025702,0.7064173644252659
E3_panels,gse140802_t2_t16,mioflow,7,0,20260917,success,0.6614378277661476,0.955973346025702,0.8217836455399776
E3_panels,gse140802_t2_t16,mioflow,7,0,20260918,success,0.6614378277661476,0.955973346025702,0.9194275993417363
E3_panels,gse140802_t2_t16,mioflow,7,0,20260919,success,0.6416889479197478,0.955973346025702,0.3023519579991891
E3_panels,gse140802_t2_t16,mioflow,7,0,20260920,success,0.6416889479197478,0.955973346025702,0.7366416965266598
E3_panels,gse140802_t2_t16,prescient,7,0,20260916,success,0.6614378277661476,0.955973346025702,0.46102015292908033
E3_panels,gse140802_t2_t16,prescient,7,0,20260917,success,0.6831300510639731,0.955973346025702,0.47663426409272747
E3_panels,gse140802_t2_t16,prescient,7,0,20260918,success,0.7637626158259733,0.955973346025702,0.47711698386538315
E3_panels,gse140802_t2_t16,prescient,7,0,20260919,success,0.7637626158259733,0.955973346025702,0.510946377405922
E3_panels,gse140802_t2_t16,prescient,7,0,20260920,success,0.9999999999999998,0.955973346025702,0.468563236444723
E3_panels,gse140802_t2_t16,prescient,7,0,-1,baseline,0.0,0.8303188957639219,
E3_panels,gse140802_t2_t9,uot_iot,7,0,20260916,success,0.6756639246921762,0.9055357142857143,0.4984047739453967
E3_panels,gse140802_t2_t9,uot_iot,7,0,20260917,success,0.7637626158259733,0.9055357142857143,0.49405762881487986
E3_panels,gse140802_t2_t9,uot_iot,7,0,20260918,success,0.6614378277661476,0.9055357142857143,0.41570829477557036
E3_panels,gse140802_t2_t9,uot_iot,7,0,20260919,success,0.6831300510639731,0.9055357142857143,0.6501380531769735
E3_panels,gse140802_t2_t9,uot_iot,7,0,20260920,success,0.6614378277661476,0.9055357142857143,0.5081510785534702
E3_panels,gse140802_t2_t9,wot,7,0,-1,success,0.6756639246921762,0.9055357142857143,0.9999999999999998
E3_panels,gse140802_t2_t9,moscot,7,0,-1,success,0.6831300510639731,0.9055357142857143,0.8488746876271654
E3_panels,gse140802_t2_t9,lineageot,7,0,-1,success,0.6831300510639731,0.9055357142857143,1.0
E3_panels,gse140802_t2_t9,cellrank2,7,0,-1,no_coupling,,,
E3_panels,gse140802_t2_t9,tigon,7,0,20260916,success,0.6416889479197478,0.9055357142857143,0.8206811123169517
E3_panels,gse140802_t2_t9,tigon,7,0,20260917,success,0.6416889479197478,0.9055357142857143,0.5820474747551937
E3_panels,gse140802_t2_t9,tigon,7,0,20260918,success,0.6614378277661476,0.9055357142857143,0.6444587015202824
E3_panels,gse140802_t2_t9,tigon,7,0,20260919,success,0.7637626158259733,0.9055357142857143,0.24128471349524025
E3_panels,gse140802_t2_t9,tigon,7,0,20260920,success,0.6756639246921762,0.9055357142857143,0.8180442617109239
E3_panels,gse140802_t2_t9,mioflow,7,0,20260916,success,0.6831300510639731,0.9055357142857143,0.27142852557181757
E3_panels,gse140802_t2_t9,mioflow,7,0,20260917,success,0.6416889479197478,0.9055357142857143,0.4304646180225913
E3_panels,gse140802_t2_t9,mioflow,7,0,20260918,success,0.6831300510639731,0.9055357142857143,0.5996482841148835
E3_panels,gse140802_t2_t9,mioflow,7,0,20260919,success,0.6831300510639731,0.9055357142857143,0.2545906847943031
E3_panels,gse140802_t2_t9,mioflow,7,0,20260920,success,0.6614378277661476,0.9055357142857143,0.413543651591316
E3_panels,gse140802_t2_t9,prescient,7,0,20260916,success,0.9999999999999998,0.9055357142857143,0.497904829766359
E3_panels,gse140802_t2_t9,prescient,7,0,20260917,success,0.6416889479197478,0.9055357142857143,0.48212361931016995
E3_panels,gse140802_t2_t9,prescient,7,0,20260918,success,0.6831300510639731,0.9055357142857143,0.5366484437801624
E3_panels,gse140802_t2_t9,prescient,7,0,20260919,success,0.9999999999999998,0.9055357142857143,0.4744172683959298
E3_panels,gse140802_t2_t9,prescient,7,0,20260920,success,0.6831300510639731,0.9055357142857143,0.5715553155728802
E3_panels,gse140802_t2_t9,prescient,7,0,-1,baseline,-0.408248290463863,0.4585714285714286,
E3_panels,gse239651_transition_panel,uot_iot,6,1,20260916,success,0.08571428571428573,0.6452841870839936,1.0
E3_panels,gse239651_transition_panel,uot_iot,6,1,20260917,success,0.08571428571428573,0.6452841870839936,1.0
E3_panels,gse239651_transition_panel,uot_iot,6,1,20260918,success,0.08571428571428573,0.6452841870839936,1.0
E3_panels,gse239651_transition_panel,uot_iot,6,1,20260919,success,0.08571428571428573,0.6452841870839936,1.0
E3_panels,gse239651_transition_panel,uot_iot,6,1,20260920,success,0.08571428571428573,0.6452841870839936,1.0
E3_panels,gse239651_transition_panel,wot,6,1,-1,success,0.7714285714285715,0.5406908806766231,0.9985347985347985
E3_panels,gse239651_transition_panel,moscot,6,1,-1,success,0.8857142857142858,0.5600601529879617,0.9985347985347985
E3_panels,gse239651_transition_panel,lineageot,6,1,-1,success,0.8857142857142858,0.5600601529879617,0.9985347985347985
