experiment,method,seed,status,ordering_state,ordering_cell,time_auc,restart_stability,site_stability,root,agreement_with_uot
E2_gse228154,soft_iot,-1,summary,0.3939393939393939,0.4424248025798458,0.918076849606482,0.9892255892255891,0.9717171717171716,0,
E2_gse228154,hard_ot,-1,summary,0.2121212121212121,0.4350104514532074,0.9142727960927634,0.9999999999999998,0.9999999999999999,0,
E2_gse228154,frozen_uot_direction,-1,summary,0.33333333333333326,0.44089779514028316,0.9169318981524928,,,0,
E2_gse228154,dpt_style,-1,baseline,,0.3985039007902324,,,,189,0.801629241636978
E2_gse228154,marginal_prevalence,-1,baseline,0.406060606060606,0.7700868586969404,0.9439391556259356,,,0,
