experiment,dataset,mu,seed,ordering,restart_stability,min_pure_column_curvature,direction_dispersion,time_auc
E5_mu_scan,synthetic_chain,0.05,20260916,0.942857142857143,1.0,4.091956270713126,0.0004163731239953714,
E5_mu_scan,synthetic_chain,0.1,20260916,0.942857142857143,1.0,3.73808542164511,0.0004215478648091473,
E5_mu_scan,synthetic_chain,0.2,20260916,0.942857142857143,1.0,3.154746710976042,0.00043231153354384496,
E5_mu_scan,synthetic_chain,0.5,20260916,0.942857142857143,1.0,2.036814256811681,0.00046749672115332523,
E5_mu_scan,synthetic_chain,1.0,20260916,0.942857142857143,1.0,1.154439585704381,0.00053389138494389,
E5_mu_scan,synthetic_chain,2.0,20260916,0.942857142857143,1.0,0.5163754259740472,0.0006838688979028325,
E5_mu_scan,synthetic_chain,5.0,20260916,-0.08571428571428573,0.3904761904761905,4493687.077204662,0.16397568481271121,
E5_mu_scan,synthetic_chain,0.05,20260917,0.942857142857143,1.0,5.565150226871651,0.007611591117632167,
E5_mu_scan,synthetic_chain,0.1,20260917,0.942857142857143,1.0,5.0724531508450355,0.007660170425524542,
E5_mu_scan,synthetic_chain,0.2,20260917,0.942857142857143,1.0,4.264389838581906,0.007764739687587225,
E5_mu_scan,synthetic_chain,0.5,20260917,0.942857142857143,1.0,2.730948505558217,0.00812133366175995,
E5_mu_scan,synthetic_chain,1.0,20260917,0.942857142857143,1.0,1.5361390452994783,0.008796099643613726,
E5_mu_scan,synthetic_chain,2.0,20260917,0.942857142857143,1.0,0.6822736384748396,0.01021871060526567,
E5_mu_scan,synthetic_chain,5.0,20260917,0.8857142857142858,0.20000000000000004,4557031.818046177,0.26411202031285985,
E5_mu_scan,synthetic_chain,0.05,20260918,0.942857142857143,1.0,4.2829477644446,0.003482328015192708,
E5_mu_scan,synthetic_chain,0.1,20260918,0.942857142857143,1.0,3.8991002995203417,0.00347125758538235,
E5_mu_scan,synthetic_chain,0.2,20260918,0.942857142857143,1.0,3.271228601775533,0.0034503789465086107,
E5_mu_scan,synthetic_chain,0.5,20260918,0.942857142857143,1.0,2.0860002880596085,0.0033943977316976447,
E5_mu_scan,synthetic_chain,1.0,20260918,0.942857142857143,1.0,1.1689567607220397,0.0033054433952202137,
E5_mu_scan,synthetic_chain,2.0,20260918,0.942857142857143,1.0,0.5175766819576211,0.003087719252885899,
E5_mu_scan,synthetic_chain,5.0,20260918,-0.08571428571428573,0.580952380952381,3713326.2173659923,0.16573062193035648,
E5_mu_scan,synthetic_chain,0.05,20260919,0.942857142857143,1.0,2.6050469923433184,0.010275549517280129,
E5_mu_scan,synthetic_chain,0.1,20260919,0.942857142857143,1.0,2.3769472647927614,0.01028263443282373,
E5_mu_scan,synthetic_chain,0.2,20260919,0.942857142857143,1.0,2.0021102535849877,0.01029737035095948,
E5_mu_scan,synthetic_chain,0.5,20260919,0.942857142857143,1.0,1.2878363957469219,0.01034389481596323,
E5_mu_scan,synthetic_chain,1.0,20260919,0.942857142857143,1.0,0.7277935338834141,0.010419236325014371,
E5_mu_scan,synthetic_chain,2.0,20260919,0.942857142857143,1.0,0.324815937702283,0.010524775992258935,
E5_mu_scan,synthetic_chain,5.0,20260919,0.2,0.3904761904761905,2093221.46893655,0.149797656727368,
E5_mu_scan,synthetic_chain,0.05,20260920,0.942857142857143,1.0,3.0354401916454776,0.010073687310134574,
E5_mu_scan,synthetic_chain,0.1,20260920,0.942857142857143,1.0,2.7722071171965013,0.01005170630144591,
E5_mu_scan,synthetic_chain,0.2,20260920,0.942857142857143,1.0,2.3402314806020286,0.01001085741606471,
E5_mu_scan,synthetic_chain,0.5,20260920,0.942857142857143,1.0,1.5175827972058187,0.009917667669504263,
E5_mu_scan,synthetic_chain,1.0,20260920,0.942857142857143,1.0,0.8692047170910655,0.009845492061582074,
E5_mu_scan,synthetic_chain,2.0,20260920,0.942857142857143,1.0,0.39538952201212396,0.009843148712068525,
E5_mu_scan,synthetic_chain,5.0,20260920,0.2,0.2380952380952381,4906406.02405888,0.23734755126039614,
E5_mu_scan,gse228154,0.05,20260916,0.2121212121212121,0.9999999999999999,6.213280016709177,6.585318808229487e-10,0.9142727960927634
E5_mu_scan,gse228154,0.1,20260916,0.2121212121212121,0.9999999999999999,5.5933961675691535,6.835098310291909e-10,0.9142727960927634
E5_mu_scan,gse228154,0.2,20260916,0.24848484848484845,0.9999999999999999,4.587459898175439,1.503843147357448e-10,0.9143233244311078
E5_mu_scan,gse228154,0.5,20260916,0.43030303030303024,0.9919191919191919,44935.17281150616,0.032066147200919465,0.9181273779448264
E5_mu_scan,gse228154,1.0,20260916,0.3939393939393939,0.9919191919191919,179731.08655223768,0.0036836549776527432,0.918076849606482
E5_mu_scan,gse228154,2.0,20260916,0.2606060606060606,0.9999999999999999,0.7492299118894152,5.562552086520402e-10,0.9346964408350266
E5_mu_scan,gse228154,5.0,20260916,-0.19999999999999998,0.802020202020202,1394292.9228935556,0.09199116330847776,0.7297844458173929
