benchmark,scenario,sample_size,sample_count,seed,method,runtime_seconds,train_cross_entropy,heldout_coupling_relative_frobenius,minimum_curvature,pure_column_minimum_curvature,restart_direction_variance,theta_true,theta_hat,feature_names,coefficient_cosine,coefficient_spearman,coefficient_sign_accuracy,coefficient_relative_l2
B1_known_truth,identifiable_soft_marginal,small,400,20260916,soft_iot,1.0019347999998445,3.236491900880984,0.0207699812570886,0.237363408928104,0.237363408928104,3.798305901454861e-13,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6014309186423292, -0.35534529630975575, 0.37501899349327644, -0.4900711982578495, 0.2534804522540682, -0.2246514277311902]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9995515514095292,1.0,1.0,0.0299482417003318
B1_known_truth,identifiable_soft_marginal,small,400,20260916,hard_ot,0.1497085999999399,3.2298707624777743,0.08139394538595,0.0,0.0,0.0647746140579003,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.5914094485672969, -0.3532865373914196, 0.17113302619583448, -0.2536125533679993, -0.31108241131461295, -0.18556275108331738]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.7712668930877951,0.7142857142857143,0.8333333333333334,0.6763624870026498
B1_known_truth,identifiable_soft_marginal,small,400,20260917,soft_iot,0.994197399999848,3.4876662794444706,0.0483479491346527,0.283165268566421,0.283165268566421,2.788812695977547e-13,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.0640662241049061, 0.40338132308413904, 0.10151471562063144, -0.3591248398425942, 0.3019203463490604, -0.6664544091981875]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9870719458365788,0.942857142857143,1.0,0.1607983467789474
B1_known_truth,identifiable_soft_marginal,small,400,20260917,hard_ot,0.1587254999999459,3.4829609336989407,0.103067401950881,0.0,0.0,0.0986833835986874,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.06482583998397798, 0.4033020926159772, 0.2660416561851031, 0.014036301287799298, -0.11709979532271031, -0.2169899649993875]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.484518532715283,0.3714285714285715,0.6666666666666666,1.0153634494945316
B1_known_truth,identifiable_soft_marginal,small,400,20260918,soft_iot,0.9739251999999397,3.432146719537716,0.0692560207677088,0.3292938188792504,0.3292938188792504,3.0719083879883484e-14,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.21667651014946274, -0.5572935025935958, 0.6367461855392973, 0.15133464731873392, 0.6192225306934507, 0.06625207099451558]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9916753028340471,0.942857142857143,0.8333333333333334,0.1290325320681006
B1_known_truth,identifiable_soft_marginal,small,400,20260918,hard_ot,0.1756501999998363,3.426972011944258,0.1101998461388334,-8.88178419700125e-10,-8.88178419700125e-10,0.0775051751089891,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.21337635289939935, -0.5603954366549592, -0.4474757172673913, 0.10264137099298373, -0.29427963988456246, 0.3727067849408354]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",-0.0632766628133919,-0.1428571428571428,0.5,1.4582706626778117
B1_known_truth,identifiable_soft_marginal,small,400,20260919,soft_iot,0.8923773999999867,3.298640494860201,0.0390708011924771,0.1107706522063267,0.1107706522063267,1.396304965294252e-13,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.3205629343702433, -0.18998688347441414, 0.6731317242168547, -0.19956220959956728, 0.4385816573060644, -0.4751408151702708]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9980348207238112,1.0,1.0,0.0626925717479946
B1_known_truth,identifiable_soft_marginal,small,400,20260919,hard_ot,0.1129621000000042,3.2918261349108504,0.0938627494564115,-4.4408920985006256e-10,-4.4408920985006256e-10,0.1286257574375557,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.33072889042119524, -0.18853327326430455, 0.4429706901870494, -0.090873320469712, 0.029348060838883437, -0.2219127479244359]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.8666165560203433,0.8857142857142858,1.0,0.5164948092278504
B1_known_truth,identifiable_soft_marginal,small,400,20260920,soft_iot,0.9712577000000238,3.390645909456276,0.0294202931746749,0.295903165525857,0.295903165525857,2.4505312890274622e-14,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.146296133030499, -0.25205816843239626, 0.5237612435146988, -0.4568481041527225, 0.605637656147278, -0.040065779602589356]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.996836900109119,0.942857142857143,1.0,0.0795374112085762
B1_known_truth,identifiable_soft_marginal,small,400,20260920,hard_ot,0.1047814000000926,3.384733102028773,0.0908772555966051,0.0,0.0,0.1436545875896556,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.14599994312372214, -0.25518742460793503, 0.035304124588299075, -0.06927560407957051, 0.29970079044679654, -0.41432912823553214]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.5702679681928934,0.6,1.0,0.9270728469835654
B1_known_truth,identifiable_soft_marginal,medium,2000,20260916,soft_iot,1.0021806999998262,3.275514910310457,0.0245554274172476,0.246458566888208,0.246458566888208,2.1266280606610045e-13,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6197247565665889, -0.3752976652082066, 0.3416848509249885, -0.46844670987935844, 0.30343779769719975, -0.15475306909289457]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9960828474529428,1.0,1.0,0.0885116099396833
B1_known_truth,identifiable_soft_marginal,medium,2000,20260916,hard_ot,0.1833289000001059,3.2739161086565587,0.038107670109363,0.0,0.0,0.060894247222499,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6117608568070021, -0.38252599045183394, -0.042082185520238256, 0.5704390651015306, 0.07927547010552362, -0.3172585454646178]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.3190450724977434,0.3714285714285715,0.6666666666666666,1.1670089352719255
