scenario,sample_size,method,heldout_coupling_mean,coefficient_cosine_mean,coefficient_sign_accuracy_mean,pure_column_minimum_curvature_mean,restart_direction_variance_mean,runtime_seconds
equivalent_fit_multiple_parameters,large,hard_ot,0.0208109408729076,0.3071178505632653,0.6666666666666666,-3.552713678800501e-10,0.1046584651899108,0.6458307999998851
equivalent_fit_multiple_parameters,large,soft_iot,0.0082830124267066,0.9998485454895674,1.0,0.2492449804769592,1.2086722878858425e-13,4.967163700000128
equivalent_fit_multiple_parameters,medium,hard_ot,0.0385105475052465,0.1352156730409033,0.5666666666666667,-1.7763568394002502e-10,0.1059356716471734,0.6724080999999842
equivalent_fit_multiple_parameters,medium,soft_iot,0.0188193685677971,0.9986086113286682,1.0,0.2479566398427835,1.5014670232175692e-13,5.082642299999861
equivalent_fit_multiple_parameters,small,hard_ot,0.0958802397057362,0.5258786574405845,0.8,-2.6645352591003757e-10,0.1026487035585576,0.690437299999985
equivalent_fit_multiple_parameters,small,soft_iot,0.0413730091053204,0.9946341041826172,0.9666666666666666,0.2512992628211918,1.7071335060856494e-13,4.820018599999912
hard_marginal_flat_direction,large,hard_ot,0.0208109408729076,0.3071178505632653,0.6666666666666666,-3.552713678800501e-10,0.1046584651899108,0.6478879999999663
hard_marginal_flat_direction,large,soft_iot,0.0082830124267066,0.9998485454895674,1.0,0.2492449804769592,1.2086722878858425e-13,4.675284899999952
hard_marginal_flat_direction,medium,hard_ot,0.0385105475052465,0.1352156730409033,0.5666666666666667,-1.7763568394002502e-10,0.1059356716471734,0.6505735000002915
hard_marginal_flat_direction,medium,soft_iot,0.0188193685677971,0.9986086113286682,1.0,0.2479566398427835,1.5014670232175692e-13,4.938805300000013
hard_marginal_flat_direction,small,hard_ot,0.0958802397057362,0.5258786574405845,0.8,-2.6645352591003757e-10,0.1026487035585576,0.6626918999997997
hard_marginal_flat_direction,small,soft_iot,0.0413730091053204,0.9946341041826172,0.9666666666666666,0.2512992628211918,1.7071335060856494e-13,4.790904699999828
identifiable_soft_marginal,large,hard_ot,0.0208109408729076,0.3071178505632653,0.6666666666666666,-3.552713678800501e-10,0.1046584651899108,0.6110354000002189
identifiable_soft_marginal,large,soft_iot,0.0082830124267066,0.9998485454895674,1.0,0.2492449804769592,1.2086722878858425e-13,4.618110300000126
identifiable_soft_marginal,medium,hard_ot,0.0385105475052465,0.1352156730409033,0.5666666666666667,-1.7763568394002502e-10,0.1059356716471734,0.6725430000001325
identifiable_soft_marginal,medium,soft_iot,0.0188193685677971,0.9986086113286682,1.0,0.2479566398427835,1.5014670232175692e-13,4.968670999999858
identifiable_soft_marginal,small,hard_ot,0.0958802397057362,0.5258786574405845,0.8,-2.6645352591003757e-10,0.1026487035585576,0.701827799999819
identifiable_soft_marginal,small,soft_iot,0.0413730091053204,0.9946341041826172,0.9666666666666666,0.2512992628211918,1.7071335060856494e-13,4.833692499999643
nonlinear_or_hidden_confounding_misspecification,large,hard_ot,0.3430455130513091,0.4904016360787412,0.6333333333333334,-2.6645352591003757e-10,0.0837337251635067,1.1328708000000915
