benchmark,scenario,metric,positive_favors,paired_n,mean_difference,ci95_lower,ci95_upper,dataset,method,direction_pairwise_cosine,direction_pairwise_cosine_min,direction_seed_variance,direction_sign_agreement,direction_type,seed_n,pairwise_cosine_mean,pairwise_cosine_min,pairwise_cosine_variance,training_cohort,validation_cohort,site,direction_status,gain,bootstrap_replicates,ci_excludes_zero,relative_gain
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t16,mioflow,,,,,output_change_proxy,5.0,0.9867831219113228,0.9620641010947786,0.0001312567081836,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t16,prescient,,,,,output_change_proxy,5.0,0.9996784168693672,0.9992688034897268,4.6528386527618354e-08,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t16,tigon,,,,,output_change_proxy,5.0,0.811179784426215,0.6751141051349906,0.010822910713117,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t16,UOT-IOT,,,,,output_change_proxy,5.0,0.9999999999999948,0.9999999999999898,1.1756218768085357e-29,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t9,mioflow,,,,,output_change_proxy,5.0,0.9785732579589712,0.9335445146305332,0.0004315078109701,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t9,prescient,,,,,output_change_proxy,5.0,0.9992159151004486,0.99782839768188,4.1568343052165014e-07,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t9,tigon,,,,,output_change_proxy,5.0,0.7347261184567122,0.5990222727199811,0.0161151300449865,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse140802_t2_t9,UOT-IOT,,,,,output_change_proxy,5.0,0.9999999999999944,0.9999999999999892,1.0205887961296839e-29,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse239651_transition_panel,mioflow,,,,,output_change_proxy,5.0,0.991472354292795,0.9797715455910626,2.6772836779552747e-05,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse239651_transition_panel,prescient,,,,,output_change_proxy,5.0,0.999718621763674,0.9994089979443004,2.2108592849093744e-08,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse239651_transition_panel,tigon,,,,,output_change_proxy,5.0,0.9848122044126048,0.9633524685369584,0.0001108688234851,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,gse239651_transition_panel,UOT-IOT,,,,,output_change_proxy,5.0,0.9999999999999828,0.9999999999999653,8.623646635251988e-29,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,macsgestalt_transition_panel,mioflow,,,,,output_change_proxy,5.0,0.999147362798084,0.9981557161886372,2.9937227770014384e-07,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,macsgestalt_transition_panel,prescient,,,,,output_change_proxy,5.0,0.9985857096462916,0.9962378084695191,1.6779070795147743e-06,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,macsgestalt_transition_panel,tigon,,,,,output_change_proxy,5.0,0.9906353475066324,0.9754842138450092,0.0001123355780941,,,,,,,,
B2_lineage_transition_output_proxy,,,,,,,,macsgestalt_transition_panel,UOT-IOT,,,,,output_change_proxy,5.0,0.9999999999999524,0.9999999999998828,1.2563185126721335e-27,,,,,,,,
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0280030501463581,0.0298753725638859,,,,,,,,,,,,GSE163558,GSE246662,GSM7874175_LM1,frozen_before_validation,0.0290196646248589,200.0,True,0.2082106538216941
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0207568095326046,0.0239218660063596,,,,,,,,,,,,GSE163558,GSE246662,GSM7874176_LM2,frozen_before_validation,0.0223080073324266,200.0,True,0.1621098916859902
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0289964311641579,0.0313483896185037,,,,,,,,,,,,GSE163558,GSE246662,GSM7874177_LM3,frozen_before_validation,0.0301460531965383,200.0,True,0.1986557010601491
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0409769540077706,0.0469881721565458,,,,,,,,,,,,GSE163558,GSE183904,s19,frozen_before_validation,0.0437538300366153,200.0,True,0.2872568510641332
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0710046599141826,0.0761329001343414,,,,,,,,,,,,GSE163558,GSE183904,s20,frozen_before_validation,0.0735746918829006,200.0,True,0.4609673918350048
external_frozen_direction,,conditional_transition_mae_gain_over_independence,,,,0.0549188589190246,0.0622782911157637,,,,,,,,,,,,GSE163558,GSE183904,s38,frozen_before_validation,0.0586592208897275,200.0,True,0.3801399287265014
