dataset,benchmark,task,split,repeat,seed,method,method_version,metric,value,status,runtime_seconds,peak_memory_gb,failure_reason,artifact
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0057823675716678,success,0.9884000000001834,,,
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0317945331356629,success,0.1465640000001258,,,
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0059571819291357,success,1.016133500000251,,,
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0201150755156233,success,0.1013747000001785,,,
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0112907843262237,success,0.9297907999998642,,,
identifiable_soft_marginal,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0167491157153561,success,0.0945558999997047,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0207699812570886,success,1.5232843999997383,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.08139394538595,success,0.2748335000001134,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0483479491346527,success,1.5501485000004325,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.103067401950881,success,0.2171367000000827,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0692560207677088,success,1.3613313000000744,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1101998461388334,success,0.2224190000001726,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0390708011924771,success,1.1765565000000606,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0938627494564115,success,0.1316170000000056,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0294202931746749,success,1.1393797000000632,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0908772555966051,success,0.1126588000001902,,,
