benchmark,dataset,method,seed,runtime_seconds,peak_memory_gb,status,artifact
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260916.0,1.07515420000027,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260916.0,0.0828166999999666,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260917.0,0.9713815000000068,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260917.0,0.1086900999998761,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260918.0,0.8395845000000008,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260918.0,0.0948812999999972,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260919.0,1.1241503999999622,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260919.0,0.1172025000000758,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260920.0,1.0202758999998878,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260920.0,0.1098799000001236,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260916.0,1.0049973999998656,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260916.0,0.1029505999999855,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260917.0,1.0348675000000185,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260917.0,0.1132460000003448,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260918.0,0.920255100000304,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260918.0,0.0879520999997112,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260919.0,1.1910577000003286,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260919.0,0.122143799999776,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260920.0,0.9830117999999856,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260920.0,0.0942646000003151,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260916.0,0.9429312000002028,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260916.0,0.0865029000001413,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260917.0,0.9786874000001262,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260917.0,0.1116302999998879,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260918.0,0.8395958000000974,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260918.0,0.0872058999998444,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260919.0,1.0072248999999829,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260919.0,0.1041626000001088,,success,
B1_known_truth,equivalent_fit_multiple_parameters,soft_iot,20260920.0,1.184292199999618,,success,
B1_known_truth,equivalent_fit_multiple_parameters,hard_ot,20260920.0,0.1108207000002039,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260916.0,1.1123382999999194,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260916.0,0.1654218999997283,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260917.0,1.1023595999999998,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260917.0,0.2124383000000307,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260918.0,1.051800800000365,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260918.0,0.1991322000003492,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260919.0,1.0626346999997622,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260919.0,0.1177881999997225,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260920.0,1.0025394999997843,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260920.0,0.1008627999999589,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260916.0,0.9982817000000068,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260916.0,0.1455492000000049,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260917.0,1.02074599999969,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260917.0,0.1568135000002257,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260918.0,0.8786196999999447,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260918.0,0.1371281000001545,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260919.0,1.0219849000000067,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260919.0,0.1076626999997643,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260920.0,0.9431463000000804,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260920.0,0.085291600000346,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260916.0,0.9935421999998651,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260916.0,0.1351744000003236,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260917.0,0.963337700000011,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260917.0,0.1563703000001624,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260918.0,0.9668118999998114,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260918.0,0.1507541000000856,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260919.0,1.0804274999995869,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260919.0,0.0913902999996025,,success,
B1_known_truth,shared_plus_context_offset,soft_iot,20260920.0,1.0419104000002335,,success,
B1_known_truth,shared_plus_context_offset,hard_ot,20260920.0,0.0908484999999927,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260916.0,1.0358581000000413,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260916.0,0.1563836000000265,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260917.0,0.9919863999998596,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260917.0,0.133145599999807,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260918.0,1.0540828999996847,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260918.0,0.1892931000002136,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260919.0,1.068597899999986,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260919.0,0.1380479999997987,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260920.0,1.0296806000001195,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260920.0,0.1098606999998992,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260916.0,1.0135543000001237,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260916.0,0.1671473999999762,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260917.0,1.0352265000001353,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260917.0,0.1598726000001988,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260918.0,1.039399499999945,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260918.0,0.1720463000001473,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260919.0,0.999287699999968,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260919.0,0.1218624000002819,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260920.0,1.0551024999999754,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260920.0,0.1008802999999716,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260916.0,1.0065113999999085,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260916.0,0.1825636000003214,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260917.0,1.1623053000002983,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260917.0,0.1776282999999239,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260918.0,0.9902772000000368,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260918.0,0.1657964999999421,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260919.0,1.043357399999877,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260919.0,0.1143796999999722,,success,
B1_known_truth,observation_noise_and_dropout,soft_iot,20260920.0,1.035367099999803,,success,
B1_known_truth,observation_noise_and_dropout,hard_ot,20260920.0,0.1046404999997321,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260916.0,1.336510399999952,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260916.0,0.2024116000002322,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260917.0,1.113893200000348,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260917.0,0.2007628999999724,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260918.0,1.1119886000001316,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260918.0,0.2208121999997274,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260919.0,1.0350179000001845,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260919.0,0.12569749999966,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260920.0,1.0244719000002078,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260920.0,0.1201066999997237,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260916.0,1.476230199999918,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260916.0,0.2441287999999986,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260917.0,1.1467106999998578,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260917.0,0.2061431000001903,,success,
