dataset,lineage_id,window,source_time,target_time,source_n,target_n,target_detected,sample_source,source_state_0,source_state_1,source_state_2,source_state_3,target_state_0,target_state_1,target_state_2,target_state_3,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
GSE173958_macsgestalt,M2_clone_15,M2_PT_to_meta,PrimaryTumor,Metastasis,43,1,1,M2,5,3,15,20,0,0,1,0,0.11627906976744186,0.06976744186046512,0.3488372093023256,0.46511627906976744,0.0,1.0,3.784189633918261
GSE173958_macsgestalt,M2_clone_18,M2_PT_to_meta,PrimaryTumor,Metastasis,34,1,1,M2,12,1,21,0,0,0,1,0,0.35294117647058826,0.029411764705882353,0.6176470588235294,0.0,0.0,1.0,3.5553480614894135
GSE173958_macsgestalt,M2_clone_19,M2_PT_to_meta,PrimaryTumor,Metastasis,24,1,1,M2,6,0,18,0,0,0,1,0,0.25,0.0,0.75,0.0,0.0,1.0,3.2188758248682006
GSE173958_macsgestalt,M2_clone_21,M2_PT_to_meta,PrimaryTumor,Metastasis,25,1226,1,M2,3,0,22,0,244,25,957,0,0.12,0.0,0.88,0.0,0.0,1.0,3.258096538021482
GSE173958_macsgestalt,M2_clone_23,M2_PT_to_meta,PrimaryTumor,Metastasis,21,164,1,M2,2,15,4,0,0,163,1,0,0.09523809523809523,0.7142857142857143,0.19047619047619047,0.0,0.0,1.0,3.091042453358316
GSE173958_macsgestalt,M2_clone_24,M2_PT_to_meta,PrimaryTumor,Metastasis,20,1,1,M2,3,1,16,0,1,0,0,0,0.15,0.05,0.8,0.0,0.0,1.0,3.044522437723423
GSE173958_macsgestalt,M2_clone_25,M2_PT_to_meta,PrimaryTumor,Metastasis,21,254,1,M2,4,4,13,0,26,11,217,0,0.19047619047619047,0.19047619047619047,0.6190476190476191,0.0,0.0,1.0,3.091042453358316
GSE173958_macsgestalt,M2_clone_26,M2_PT_to_meta,PrimaryTumor,Metastasis,19,2,1,M2,4,0,15,0,0,0,2,0,0.21052631578947367,0.0,0.7894736842105263,0.0,0.0,1.0,2.995732273553991
GSE173958_macsgestalt,M2_clone_27,M2_PT_to_meta,PrimaryTumor,Metastasis,19,1,1,M2,2,4,13,0,1,0,0,0,0.10526315789473684,0.21052631578947367,0.6842105263157895,0.0,0.0,1.0,2.995732273553991
GSE173958_macsgestalt,M2_clone_29,M2_PT_to_meta,PrimaryTumor,Metastasis,12,14,1,M2,0,0,12,0,2,1,11,0,0.0,0.0,1.0,0.0,0.0,1.0,2.5649493574615367
GSE173958_macsgestalt,M2_clone_35,M2_PT_to_meta,PrimaryTumor,Metastasis,11,2,1,M2,1,7,2,1,0,1,0,1,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,1.0,2.4849066497880004
GSE173958_macsgestalt,M2_clone_44,M2_PT_to_meta,PrimaryTumor,Metastasis,7,1,1,M2,0,0,7,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,2.0794415416798357
GSE173958_macsgestalt,M2_clone_49,M2_PT_to_meta,PrimaryTumor,Metastasis,3,44,1,M2,2,0,1,0,2,0,42,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,1.3862943611198906
GSE173958_macsgestalt,M2_clone_50,M2_PT_to_meta,PrimaryTumor,Metastasis,6,1,1,M2,1,0,5,0,0,0,1,0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,1.0,1.9459101490553132
GSE173958_macsgestalt,M2_clone_51,M2_PT_to_meta,PrimaryTumor,Metastasis,6,1,1,M2,3,0,3,0,0,0,1,0,0.5,0.0,0.5,0.0,0.0,1.0,1.9459101490553132
GSE173958_macsgestalt,M2_clone_58,M2_PT_to_meta,PrimaryTumor,Metastasis,4,2,1,M2,0,0,4,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.6094379124341003
GSE173958_macsgestalt,M2_clone_63,M2_PT_to_meta,PrimaryTumor,Metastasis,4,444,1,M2,1,1,2,0,101,9,334,0,0.25,0.25,0.5,0.0,0.0,1.0,1.6094379124341003
GSE173958_macsgestalt,M2_clone_64,M2_PT_to_meta,PrimaryTumor,Metastasis,3,1,1,M2,0,0,3,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1.3862943611198906
