dataset,method,seed,status,runtime_seconds,artifact,coupling_relative_frobenius,transition_weighted_l1,fate_pearson,fate_spearman,fate_top1_accuracy,objective
gse239651_transition_panel,wot,deterministic_or_method_default,success,3.874419000000216,results/B2_lineage_transition/wot/gse239651_transition_panel.npz,1.0054741329829409,0.5622235992510631,0.2829156431995213,0.3896638948429298,0.2727272727272727,
gse239651_transition_panel,moscot,deterministic_or_method_default,success,10.35936730000003,results/B2_lineage_transition/moscot/gse239651_transition_panel.npz,1.0022205766976555,0.5249415568089765,0.291872157616353,0.3878434498166115,0.282051282051282,
gse239651_transition_panel,lineageot,deterministic_or_method_default,success,4.060406099999909,results/B2_lineage_transition/lineageot/gse239651_transition_panel.npz,1.0026475896743297,0.5289717795563629,0.289347235711953,0.3761995226259312,0.282051282051282,
gse239651_transition_panel,cellrank2,deterministic_or_method_default,success,18.17139989999987,results/B2_lineage_transition/cellrank2/gse239651_transition_panel.npz,,,0.2924215843399057,0.357601455695145,0.351981351981352,
macsgestalt_transition_panel,wot,deterministic_or_method_default,success,3.2780704000001606,results/B2_lineage_transition/wot/macsgestalt_transition_panel.npz,0.9845342777272762,0.6528142047500569,0.6996693958746467,0.5498813965385022,0.7619047619047619,
macsgestalt_transition_panel,moscot,deterministic_or_method_default,success,8.9895247999998,results/B2_lineage_transition/moscot/macsgestalt_transition_panel.npz,0.9839620929046672,0.7191109716690901,0.678623130018003,0.565228977424694,0.7619047619047619,
macsgestalt_transition_panel,lineageot,deterministic_or_method_default,success,3.2980133000000933,results/B2_lineage_transition/lineageot/macsgestalt_transition_panel.npz,0.9901266067096132,0.7130570022441368,0.6789880726002673,0.5499124508501396,0.7619047619047619,
macsgestalt_transition_panel,cellrank2,deterministic_or_method_default,success,16.732700900000054,results/B2_lineage_transition/cellrank2/macsgestalt_transition_panel.npz,,,0.6633623991223192,0.4724090604735482,0.7380952380952381,
gse140802_t2_t16,wot,deterministic_or_method_default,success,3.3637782999999217,results/B2_lineage_transition/wot/gse140802_t2_t16.npz,0.993316708844632,0.0634264230787114,0.6877673287265326,0.6139979206853131,0.55,
gse140802_t2_t16,moscot,deterministic_or_method_default,success,8.850090099999761,results/B2_lineage_transition/moscot/gse140802_t2_t16.npz,0.9933254747328308,0.0639832164258949,0.6877696582668232,0.6139979206853131,0.55,
gse140802_t2_t16,lineageot,deterministic_or_method_default,success,4.625729200000023,results/B2_lineage_transition/lineageot/gse140802_t2_t16.npz,0.9933254747328308,0.0639832164258948,0.687769658266823,0.6139979206853131,0.55,
gse140802_t2_t16,cellrank2,deterministic_or_method_default,success,19.560309099999813,results/B2_lineage_transition/cellrank2/gse140802_t2_t16.npz,,,0.67655602763955,0.5966825914669532,0.55,
gse140802_t2_t9,wot,deterministic_or_method_default,success,3.410049699999945,results/B2_lineage_transition/wot/gse140802_t2_t9.npz,0.9985001033741996,0.0827091086097539,0.5474001244314879,0.5319530890326584,0.5526315789473685,
gse140802_t2_t9,moscot,deterministic_or_method_default,success,9.358690800000204,results/B2_lineage_transition/moscot/gse140802_t2_t9.npz,0.9985046076760864,0.0819341957707367,0.5474099056098471,0.535114767297792,0.5526315789473685,
gse140802_t2_t9,lineageot,deterministic_or_method_default,success,3.2721207999998114,results/B2_lineage_transition/lineageot/gse140802_t2_t9.npz,0.9985046076760864,0.0819341957707369,0.5474099056098471,0.535114767297792,0.5526315789473685,
gse140802_t2_t9,cellrank2,deterministic_or_method_default,success,16.78689940000004,results/B2_lineage_transition/cellrank2/gse140802_t2_t9.npz,,,0.4997407426093352,0.4938260367213805,0.5526315789473685,
gse239651_transition_panel,mioflow,20260916,success,20.785635199999888,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260916.npz,0.9990306434785268,0.1512443058048755,0.4457723560156528,0.4971807678112818,0.3146853146853147,
gse239651_transition_panel,prescient,20260916,success,12.2056977000002,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260916.npz,0.9989931339374124,0.2589233773640866,0.4248905725296124,0.5015536355339979,0.2983682983682983,
gse239651_transition_panel,tigon,20260916,success,83.49555340000006,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260916.npz,0.9991391301135109,0.2974117178892503,0.4148469329407903,0.5015412113083324,0.289044289044289,
gse239651_transition_panel,mioflow,20260917,success,15.186479299999974,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260917.npz,0.99913058932508,0.089612967024152,0.4626213527691551,0.5005027085190424,0.3053613053613053,
gse239651_transition_panel,prescient,20260917,success,12.208909500000118,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260917.npz,0.998988910745598,0.256290709271331,0.4247707257478605,0.4987947417211889,0.289044289044289,
gse239651_transition_panel,tigon,20260917,success,88.4980099999998,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260917.npz,0.999142278947074,0.2976836058648693,0.412946624984967,0.5015799138379464,0.289044289044289,
gse239651_transition_panel,mioflow,20260918,success,15.013544199999616,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260918.npz,0.999171380992702,0.1507898771297626,0.4238849624211725,0.4832492718476891,0.289044289044289,
gse239651_transition_panel,prescient,20260918,success,12.23315360000015,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260918.npz,0.9989803645534394,0.2593894219081126,0.4294377567185322,0.5042407915791847,0.289044289044289,
gse239651_transition_panel,tigon,20260918,success,89.59955020000007,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260918.npz,0.999161729259962,0.3015403877873501,0.4119126131282662,0.501820187865442,0.275058275058275,
gse239651_transition_panel,mioflow,20260919,success,16.295011199999863,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260919.npz,0.9990234889032084,0.1090210624912312,0.4623677605801095,0.5082522542819,0.3659673659673659,
gse239651_transition_panel,prescient,20260919,success,12.084383700000217,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260919.npz,0.9989827293994876,0.2573956860911987,0.4261876335511731,0.5026588018070919,0.296037296037296,
gse239651_transition_panel,tigon,20260919,success,90.81693210000049,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260919.npz,0.99914683448574,0.2988756784191658,0.4124209980019498,0.5014812988914691,0.289044289044289,
gse239651_transition_panel,mioflow,20260920,success,14.431510399999752,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260920.npz,0.9991693450866036,0.1761695755833731,0.4001024464604696,0.4787012339391481,0.2634032634032634,
gse239651_transition_panel,prescient,20260920,success,11.99105150000014,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260920.npz,0.99902630185711,0.2611591063895968,0.4249922666111765,0.5004066267460906,0.2797202797202797,
gse239651_transition_panel,tigon,20260920,success,87.81660160000047,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260920.npz,0.9991584221037534,0.2986984796835643,0.4128262619571429,0.5017362252219898,0.289044289044289,
macsgestalt_transition_panel,mioflow,20260916,success,11.044323500000246,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260916.npz,1.003561646595841,1.3202806211689606,0.3605240131826958,0.3819269625480512,0.4523809523809524,
