dataset,method,direction_pairwise_cosine,direction_pairwise_cosine_min,direction_seed_variance,direction_sign_agreement
gse140802_t2_t16,UOT-IOT,0.999189304252851,0.9972169170573716,0.0001013369683936,0.95
gse140802_t2_t9,UOT-IOT,0.9985569175451944,0.9963128669912582,0.0001803853068507,1.0
gse239651_transition_panel,UOT-IOT,0.9999999999996774,0.9999999999990508,4.6083306528042243e-14,1.0
macsgestalt_transition_panel,UOT-IOT,0.999999999999972,0.9999999999999384,5.5600007796582626e-15,1.0
