dataset,method,seed,artifact,log,status,returncode,runtime_seconds,failure_reason,metrics
macsgestalt_transition_panel,mioflow,20260917,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/mioflow/macsgestalt_transition_panel_seed20260917.log,success,0,11.484083600000304,,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260917_metrics.json
macsgestalt_transition_panel,prescient,20260917,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/prescient/macsgestalt_transition_panel_seed20260917.log,success,0,4.637583499999892,,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260917_metrics.json
macsgestalt_transition_panel,tigon,20260917,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/tigon/macsgestalt_transition_panel_seed20260917.log,success,0,19.72212709999985,,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260917_metrics.json
macsgestalt_transition_panel,mioflow,20260918,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/mioflow/macsgestalt_transition_panel_seed20260918.log,success,0,11.78794199999993,,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260918_metrics.json
macsgestalt_transition_panel,prescient,20260918,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/prescient/macsgestalt_transition_panel_seed20260918.log,success,0,5.187965800000711,,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260918_metrics.json
macsgestalt_transition_panel,tigon,20260918,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/tigon/macsgestalt_transition_panel_seed20260918.log,success,0,19.38227749999988,,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260918_metrics.json
macsgestalt_transition_panel,mioflow,20260919,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260919.npz,results/B2_lineage_transition/logs/mioflow/macsgestalt_transition_panel_seed20260919.log,success,0,11.830186999999569,,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260919_metrics.json
macsgestalt_transition_panel,prescient,20260919,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260919.npz,results/B2_lineage_transition/logs/prescient/macsgestalt_transition_panel_seed20260919.log,success,0,4.753263999999945,,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260919_metrics.json
macsgestalt_transition_panel,tigon,20260919,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260919.npz,results/B2_lineage_transition/logs/tigon/macsgestalt_transition_panel_seed20260919.log,success,0,20.06999889999952,,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260919_metrics.json
macsgestalt_transition_panel,mioflow,20260920,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260920.npz,results/B2_lineage_transition/logs/mioflow/macsgestalt_transition_panel_seed20260920.log,success,0,12.103159299999788,,results/B2_lineage_transition/mioflow/macsgestalt_transition_panel_seed20260920_metrics.json
macsgestalt_transition_panel,prescient,20260920,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260920.npz,results/B2_lineage_transition/logs/prescient/macsgestalt_transition_panel_seed20260920.log,success,0,4.769642400000521,,results/B2_lineage_transition/prescient/macsgestalt_transition_panel_seed20260920_metrics.json
macsgestalt_transition_panel,tigon,20260920,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260920.npz,results/B2_lineage_transition/logs/tigon/macsgestalt_transition_panel_seed20260920.log,success,0,20.34762430000046,,results/B2_lineage_transition/tigon/macsgestalt_transition_panel_seed20260920_metrics.json
gse140802_t2_t16,mioflow,20260916,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260916.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t16_seed20260916.log,success,0,12.013453700000357,,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260916_metrics.json
gse140802_t2_t16,prescient,20260916,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260916.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t16_seed20260916.log,success,0,4.76325420000012,,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260916_metrics.json
gse140802_t2_t16,tigon,20260916,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260916.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t16_seed20260916.log,success,0,24.13769130000037,,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260916_metrics.json
gse140802_t2_t16,mioflow,20260917,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260917.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t16_seed20260917.log,success,0,11.470924399999603,,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260917_metrics.json
gse140802_t2_t16,prescient,20260917,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260917.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t16_seed20260917.log,success,0,4.930187599999954,,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260917_metrics.json
gse140802_t2_t16,tigon,20260917,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260917.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t16_seed20260917.log,success,0,23.325883700000304,,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260917_metrics.json
gse140802_t2_t16,mioflow,20260918,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260918.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t16_seed20260918.log,success,0,12.363045500000226,,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260918_metrics.json
gse140802_t2_t16,prescient,20260918,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260918.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t16_seed20260918.log,success,0,4.707105800000136,,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260918_metrics.json
gse140802_t2_t16,tigon,20260918,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260918.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t16_seed20260918.log,success,0,21.92691970000033,,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260918_metrics.json
gse140802_t2_t16,mioflow,20260919,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260919.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t16_seed20260919.log,success,0,11.767347699999846,,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260919_metrics.json
gse140802_t2_t16,prescient,20260919,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260919.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t16_seed20260919.log,success,0,4.738925100000415,,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260919_metrics.json
